plant_id,host,treatment,nodule_id,nodule_area
178,Nan,4,2,0.035
178,Nan,4,3,0.017
178,Nan,4,4,0.014
13,Suc,187,1,0.492
13,Suc,187,2,0.01
12,Suc,187,1,0.041
12,Suc,187,2,0.012
12,Suc,187,3,0.062
12,Suc,187,4,0.018
12,Suc,187,5,0.03
12,Suc,187,6,0.014
12,Suc,187,7,0.027
53,Nan,156,1,0.03
53,Nan,156,2,0.072
53,Nan,156,3,0.052
53,Nan,156,4,0.02
53,Nan,156,5,0.042
53,Nan,156,6,0.041
53,Nan,156,7,0.03
53,Nan,156,8,0.046
115,Nan,131,1,0.075
114,Nan,131,1,0.028
114,Nan,131,2,0.015
114,Nan,131,3,0.005
114,Nan,131,4,0.01
114,Nan,131,5,0.021
114,Nan,131,6,0.01
114,Nan,131,7,0.01
114,Nan,131,8,0.018
114,Nan,131,9,0.031
114,Nan,131,10,0.012
114,Nan,131,11,0.01
114,Nan,131,12,0.004
114,Nan,131,13,0.008
114,Nan,131,14,0.003
116,Nan,131,1,0.01
116,Nan,131,2,0.014
116,Nan,131,3,0.041
116,Nan,131,4,0.03
116,Nan,131,5,0.032
116,Nan,131,6,0.063
116,Nan,131,7,0.058
116,Nan,131,8,0.013
116,Nan,131,9,0.049
116,Nan,131,10,0.033
116,Nan,131,11,0.021
116,Nan,131,12,0.008
116,Nan,131,13,0.01
33,Bic,187,1,0.042
33,Bic,187,2,0.051
33,Bic,187,3,0.041
33,Bic,187,4,0.061
33,Bic,187,5,0.054
117,Nan,131,1,0.006
117,Nan,131,2,0.019
117,Nan,131,3,0.015
117,Nan,131,4,0.022
117,Nan,131,5,0.011
117,Nan,131,6,0.016
117,Nan,131,7,0.015
117,Nan,131,8,0.013
117,Nan,131,9,0.022
117,Nan,131,10,0.014
117,Nan,131,11,0.024
117,Nan,131,12,0.044
117,Nan,131,13,0.027
117,Nan,131,14,0.017
117,Nan,131,15,0.01
117,Nan,131,16,0.007
113,Nan,131,1,0.076
113,Nan,131,2,0.042
112,Nan,131,1,0.015
112,Nan,131,2,0.013
112,Nan,131,3,0.011
112,Nan,131,4,0.007
112,Nan,131,5,0.007
112,Nan,131,6,0.015
112,Nan,131,7,0.004
112,Nan,131,8,0.009
112,Nan,131,9,0.012
112,Nan,131,10,0.01
112,Nan,131,11,0.012
8,Suc,187,1,0.041
9,Suc,187,1,0.034
9,Suc,187,2,0.186
9,Suc,187,3,0.05
9,Suc,187,4,0.02
9,Suc,187,5,0.025
9,Suc,187,6,0.018
9,Suc,187,7,0.031
9,Suc,187,8,0.053
9,Suc,187,9,0.016
9,Suc,187,10,0.054
9,Suc,187,11,0.083
9,Suc,187,12,0.037
9,Suc,187,13,0.02
9,Suc,187,14,0.034
9,Suc,187,15,0.114
9,Suc,187,16,0.05
9,Suc,187,17,0.014
9,Suc,187,18,0.036
9,Suc,187,19,0.037
9,Suc,187,20,0.057
9,Suc,187,21,0.031
9,Suc,187,22,0.033
9,Suc,187,23,0.011
9,Suc,187,24,0.02
111,Nan,131,1,0.049
111,Nan,131,2,0.018
111,Nan,131,3,0.034
111,Nan,131,4,0.014
111,Nan,131,5,0.015
111,Nan,131,6,0.036
111,Nan,131,7,0.011
111,Nan,131,8,0.018
111,Nan,131,9,0.005
111,Nan,131,10,0.007
