Plant_ID,Host,Treatment,RootMass_g,ShootMass_g
249,Nan,186,0.0181,0.0277
250,Nan,186,0.0209,0.0422
251,AcW,186,0.0047,0.0047
252,AcW,186,0.0041,0.0048
253,AcW,186,0.0186,0.0069
254,AcW,186,0.0202,0.0032
255,AcW,186,NA,NA
256,AcW,186,0.0133,0.0057
257,AcW,186,0.0089,0.0092
258,Bic,186,0.009,0.0122
259,Bic,186,0.0175,0.0743
260,Bic,186,0.0168,0.0966
261,Bic,186,0.0202,0.1102
262,Bic,186,0.0087,0.0073
263,Bic,186,0.0094,0.0205
264,Suc,131,0.0505,0.0672
